main dir;sub dir;assembly name;install on GAC;web app;is an exe;license;is a doc project;is a Release;is unit test;project guid
doc; OGen_DocumentationCodeSamples; OGen.Libraries.DocumentationCodeSamples.UnitTests; f; f; f; MIT; f; f; t; 40B18F60-DF7A-4325-897D-18D90C89BD54
OGen; OGen_crypt; OGen.Libraries.Crypt; t; f; f; MIT; f; t; f; 98DEBF89-FC67-43EF-BB19-7E70F939A8D6
OGen; OGen_lib; OGen.Libraries; t; f; f; MIT; f; t; f; C40A7691-C3B6-4F9B-AABB-BAF7B1169BAB
OGen; OGen_mail; OGen.Libraries.Mail; t; f; f; MIT; f; t; f; FA349CD4-2751-4160-9C78-7DFC16A41A17
OGen; OGen_datalayer__base; OGen.Libraries.DataLayer; t; f; f; MIT; f; t; f; D66D0E69-852C-4695-9D63-C9AB1A959E0B
OGen; OGen_datalayer_PostgreSQL; OGen.Libraries.DataLayer.PostgreSQL; t; f; f; MIT; f; t; f; 07D7D1E0-A4F9-45C3-8100-FC60AC3BF8FA
OGen; OGen_datalayer_SQLServer; OGen.Libraries.DataLayer.SQLServer; t; f; f; MIT; f; t; f; F26C7DB4-A67C-48A9-8B20-873EE8CFA5E7
OGen; OGen_datalayer_MySQL; OGen.Libraries.DataLayer.MySQL; f; f; f; MIT; f; f; f; 8F5F21DB-FED4-46A9-9E7E-B50B678D12B2
OGen; OGen_datalayer_UTs; OGen.Libraries.DataLayer.UnitTests; f; f; f; MIT; f; f; t; 46D90ABA-A5C9-4730-A585-8D91EFC7B398
OGen; OGen_datalayersupport; OGen.Libraries.DataLayer.Support; t; f; f; MIT; f; t; f; 88D87481-CC3F-49C7-A013-758387F3452E
OGen; OGen_collections; OGen.Libraries.Collections; t; f; f; MIT; f; t; f; A6E837F8-780F-4D05-B3ED-2FF1906B5766
OGen; OGen_collections_UTs; OGen.Libraries.Collections.UnitTests; f; f; f; MIT; f; f; t; 67566F92-0B16-47AF-912E-22FED2ECA819
OGen; OGen_webforms; OGen.Libraries.PresentationLayer.WebForms; t; f; f; MIT; f; t; f; 196FD9A0-3C2F-4B84-BDFF-0DADC2A03791
OGen; OGen_webforms_UTs; OGen.Libraries.PresentationLayer.WebForms.UnitTests; f; f; f; MIT; f; f; t; 73D08732-CC2D-432D-BF9D-AA669059446A
OGen; OGen_winforms; OGen.Libraries.PresentationLayer.WinForms; t; f; f; MIT; f; t; f; B3835B3F-C899-416F-BA94-625A4B32A4AC
OGen; OGen_winforms_UTs; OGen.Libraries.PresentationLayer.WinForms.UnitTests; f; f; f; MIT; f; f; t; 78AF375C-E64E-49D0-AD35-24447821F7CD
OGen; OGen_parser; OGen.Libraries.Parser; t; f; f; MIT; f; t; f; 981BC7DE-D93C-446E-861E-60A20E4E3391
OGen; OGen_parser_UTs; OGen.Libraries.Parser.UnitTests; f; f; f; MIT; f; f; t; 41D123D7-BA39-4661-8285-8FE17E89AB33
OGen; OGen_generator; OGen.Libraries.Generator; t; f; f; MIT; f; t; f; 668ACF34-6104-4DD9-BB8A-65D9D94B0BB6
OGen; OGen_worker; OGen.Libraries.Worker; t; f; f; MIT; f; t; f; 210F2BDA-5508-4587-9E39-E4C9C8752B05
OGen; OGen-test; OGen.PresentationLayer.Test; f; f; t; MIT; f; f; f; 4445DA1C-CAFF-4555-B468-7F84B87CD98B
OGen; OGen-Doc; OGen-Doc; f; f; f; GNU_FDL; t; f; f; -
OGen-NTier; NTier_metadata; OGen.NTier.Libraries.Metadata; t; f; f; MIT; f; t; f; 0E77A4DB-AF8B-4290-BB33-F9EC97655433
OGen-NTier; NTier_metadata_UTs; OGen.NTier.Libraries.Metadata.UnitTests; f; f; f; MIT; f; f; t; 9F1EEE8C-2097-4B8D-87D8-DA171FAE3480
OGen-NTier; NTier_generator; OGen.NTier.Libraries.Generator; t; f; f; MIT; f; t; f; BC9835E7-8878-479D-BC0F-909FA77344DD
OGen-NTier; NTier_datalayer; OGen.NTier.Libraries.DataLayer; t; f; f; MIT; f; t; f; 38BEF535-92F1-4C55-9CEA-8F8D3E82CAFD
